,company_name,reuters_address,description,industry,leadership
320,JAPFA LTD.,https://www.reuters.com/companies/JAPF.SI,"Japfa Ltd is a Singapore-based agri-food company. The Company provides protein foods in Asia. The Company operates through various segments, including PT Japfa TBK, Animal Protein Other, Dairy and Consumer Food. PT Japfa TBK segment is engaged in producing animal feed and multiple animal proteins, such as poultry, beef and aquaculture in Indonesia. Animal Protein Other segment includes its animal protein operations in Vietnam, Myanmar and India, which produces animal feed, poultry and swine. Its Dairy segment includes operations in China and Indonesia. In China, it focuses on upstream dairy farming to produce raw milk for downstream customers, while in Indonesia, it operates a dairy business, which produces raw milk that is used further downstream for its Greenfields dairy products. The Consumer Food segment uses the animal protein products that are produced in-house as raw materials for downstream consumer food segment.",Food Processing,"{""Handojo Santosa"": ""Executive Chairman of the Board"", ""Yong Nang Tan"": ""Chief Executive Officer, Executive Director"", ""Kevin John Monteiro"": ""Chief Financial Officer, Executive Director"", ""Bambang Budi Hendarto"": ""Chief Operating Officer, Operation 1 - Poultry Indonesia"", ""Hendrick Kolonas"": ""Executive Director""}"
321,JARDINE CYCLE & CARRIAGE LTD,https://www.reuters.com/companies/JCYC.SI,"Jardine Cycle & Carriage Limited is an investment holding company. The Company is focused on investing in businesses based on the themes of urbanization and the consumer class. The Company has interest in Astra, a diversified group in Indonesia, which is also the automotive group in Southeast Asia. It also has interests in Vietnam through Truong Hai Auto Corporation, Refrigeration Electrical Engineering Corporation and Vinamilk, as well as Siam City Cement Public Company, which operates in South Vietnam, Thailand, Sri Lanka, Cambodia and Bangladesh. The other investments in the Company’s portfolio are the Cycle & Carriage businesses in Singapore, Malaysia and Myanmar, and Tunas Ridean in Indonesia. Its motor businesses are managed by Jardine International Motors.",Auto & Truck Manufacturers,"{""Benjamin William Keswick"": ""Non-Executive Chairman of the Board"", ""Stephen Patrick Gore"": ""Group Finance Director, Executive Director"", ""Eng Heong Tan"": ""Group General Counsel, Director of Legal and Corporate Affairs and Company Secretary"", ""Benjamin Briks"": ""Group Managing Director, Executive Director"", ""Kim Teck Cheah"": ""Managing Director - Business Development""}"
322,JARDINE MATHESON HOLDINGS LTD,https://www.reuters.com/companies/JARD.SI,"Jardine Matheson Holdings Limited is a holding company with diversified businesses focused principally on Asia. Along with subsidiaries, the Company operates its business through the following segments: Jardine Pacific, Jardine Motors, Jardine Lloyd Thompson, Hongkong Land, Dairy Farm, Mandarin Oriental, Jardine Cycle & Carriage and Astra. The Company and its subsidiaries provide services in the fields of property investment and development, motor vehicles and related activities, retailing, restaurants, engineering and construction, transport services, insurance broking, hotel investment and management, financial services, heavy equipment, mining and agribusiness.",Auto & Truck Manufacturers,"{""Benjamin William Keswick"": ""Executive Chairman of the Board"", ""Graham Baker"": ""Finance Director, Executive Director"", ""Jeremy Parr"": ""Group General Counsel, Executive Director"", ""John Witt"": ""Group Managing Director, Executive Director"", ""Yiu Kai Pang"": ""Deputy Managing Director, Chairman of Hong Kong, Executive Director""}"
323,JASON MARINE GROUP LIMITED,https://www.reuters.com/companies/JMGL.SI,"Jason Marine Group Limited (Jason Marine) is a marine electronics systems integrator and provides support services. The Company provides support services for the marine and offshore oil and gas industries. Its segments include Sale of goods, which is engaged in the design, supply and sale of marine, communication, navigation and automation equipment; Rendering of services, which is engaged in the provision of maintenance and support services, including repair works, troubleshooting, commissioning, radio survey and annual performance tests, and Airtime revenue, which is engaged in the provision of airtime for the satellite communication system. The Company operates in Singapore, People's Republic of China, Brazil, Indonesia, Vietnam, Malaysia and other countries. The Company is engaged in marine communication, navigation and automation systems, and also provides certification services and sells satellite airtime services.",Communications Equipment,"{""Chew Tuck Foo"": ""Executive Chairman of the Board"", ""Kwok Yuan Chan"": ""Financial Controller"", ""Chee Keong Lim"": ""Head of Marine"", ""Koon Sing Teo"": ""Head of Energy"", ""Mi Keay Pan"": ""Joint Company Secretary""}"
324,JASPER INVESTMENTS LIMITED,https://www.reuters.com/companies/JASPbi.SI,"Jasper Investments Limited is an investment holding company. The Company is engaged in the provision of marine transportation services in the North Asian region, mainly catering to the infrastructure industry. The Company's segments include Offshore and Corporate. The Company's Offshore segment provides management services in connection with the management of vessels and barge transportation services. The Company's Corporate segment is engaged in investment holding, management and other corporate assets. Its offerings cover all aspects of chartering. The Company operates various vessels. It is engaged in the provision of transportation services to the infrastructure players in the reclamation, construction and earthwork sectors. Garnet 9 Carriers Pte. Ltd., which manages the provision of barge transportation services, is a subsidiary of the Company. The Company is a subsidiary of Polaris Nine Private Limited.",Oil Well Services & Equipment,"{""Pino Baldini"": ""Director - commercial"", ""Ivan Corbetta"": ""Operations Manager"", ""Jens Rasmussen"": ""Project Manager"", ""Chindamani Segar"": ""Director - HSEQ"", ""Pauline Sim"": ""Group Manager - Human Resources & Administration""}"
325,JAWALA INC.,NOT FOUND,N.A,N.A,N.A
326,JB FOODS LIMITED,https://www.reuters.com/companies/JBFO.SI,"JB Foods Limited is a Singapore-based investment holding company. The Company is engaged in the production and sale of cocoa ingredient products, such as cocoa butter, cocoa powder, cocoa liquor and cocoa cake. It operates through the production and sale of cocoa ingredients products segment. It operates in Malaysia, Singapore, the United States and Indonesia. Its products are sold under the brand name, JB COCOA. It markets its products to customers across the world, which includes international trade houses and end users, such as food, beverage and confectionery manufacturers. Its cocoa processing facility is located in the Port of Tanjung Pelepas, which has a capacity of processing approximately 85,000 metric tons of cocoa beans equivalent per year. Its subsidiaries are engaged in production and sale of cocoa ingredients products; procurement, sales and marketing of cocoa beans, cocoa ingredients and related products, and trading of waste products.",Food Processing,"{""Cheow Khoon Chua"": ""Lead Independent Executive Chairman of Board"", ""How Keong Tey"": ""Chief Executive Officer, Executive Director"", ""Seng Hui Sam Goi"": ""Non-Executive Non-Independent Vice Chairman of the Board"", ""Wing Hong Wong"": ""Joint Company Secretary, Group Financial Controller"", ""Lee Beng Goh"": ""Executive Director""}"
327,JEP HOLDINGS LTD.,https://www.reuters.com/companies/JEPH.SI,"JEP Holdings Ltd. is a Singapore-based investment holding company engaged in the provision of management services to its subsidiaries. The Company operates in the precision engineering segment, which is organized into six reporting units: aerospace unit, which is a provider of the manufacturing service for engine casings; oil and gas unit, which is a provider of manufacturing services to oil drilling equipment, in particular, body connectors for clip risers and related rigs; electronics unit, which is a provider of manufacturing and assembly services for parts used by the semiconductor, telecommunication and medical industries; precision engineering unit, which is a provider of precision machining services for automotive parts; trading and other unit, which is a provider of machine sales and customized cutting tools for its customers, and equipment manufacturing unit, which is a provider of large format precision engineering and equipment fabrication service.",Construction Services,"{""Andy Luong"": ""Chairman of the Board, Chief Executive Officer"", ""Chee Siong Soh"": ""Chief Executive Officer of JEP Precision Engineering Pte Ltd"", ""Yu Liang Zee"": ""Deputy Managing Director"", ""Han Poh Ong"": ""Financial Controller"", ""How Thim Koh"": ""Executive Director""}"
328,JES INTERNATIONAL HOLDINGS LTD,https://www.reuters.com/companies/JSIH.SI,"JES International Holdings Limited is a heavy industry company. The Company provides a range of services, such as shipbuilding, offshore engineering, engineering machinery, global trading and investment. The Company has research and development (R&D), sales and marketing, and procurement centers in Singapore. The Company, through its subsidiary, Jiangsu New East Marine Equipment Co., Ltd, owns an integrated manufacturing base for shipbuilding and offshore engineering, which is located at the Jiangyin Yangtze river bridge in Jingjiang city of Jiangsu province, China. The Company's integrated manufacturing base has an integrated block workshop, which covers an area of approximately 150,000 square meters; a blasting and coating center; approximately two slipways; approximately eight outfitting quays, and approximately two material ports. The Company's dry dock is used for manufacturing offshore projects and vessels of over 100,000 dead weight tons (DWT).",Water Transportation,"{""Yu Jin"": ""Chief Executive Officer, Executive Director"", ""Zhangming Huang"": ""Project Manager"", ""Daizhong Zheng"": ""Technical Manager"", ""Jianjiang Zhu"": ""Project Manager"", ""Kok Meng Lim"": ""Joint Company Secretary""}"
329,JIUTIAN CHEMICAL GROUP LIMITED,https://www.reuters.com/companies/JUTN.SI,"Jiutian Chemical Group Limited is an investment holding company. The Company is engaged in the manufacture and production of dimethylformamide (DMF) and methylamine. It is involved in the processing and sale of consumable carbon dioxide and oxygen. It operates through two business divisions: DMF division, which is engaged in producing DMF as its main product and methylamine as its secondary product, and Gas division, which is engaged in producing consumable carbon dioxide and oxygen. Its facilities have a total annual manufacturing capacity of over 150,000 tons of DMF and methylamine. It has a storage and distribution facility in Changzhou City, which handles approximately 40,000 tons of DMF annually. Its subsidiaries include Changzhou Jiutian Xiean Chemical Co., Ltd., which sells methylamine, polyurethane and downstream products, and Henan Herunsheng Isotope Technology Co., Ltd., which develops isotope technology, and manufactures and trades Oxygen 18 and deuterium depleted water.",Chemical Manufacturing,"{""Lianguo Han"": ""Non-Executive Chairman of the Board"", ""Han Kiat Ng"": ""Group Financial Controller"", ""Chee Seng Lee"": ""Executive Director"", ""Jianjun Cheng"": ""Vice General Manager - Production and Technology"", ""Shuxin Liu"": ""Vice-Head - Finance""}"
330,JOYAS INTERNATIONAL HLDGS LTD,https://www.reuters.com/companies/JIHL.SI,"Joyas International Holdings Ltd. is a Singapore-based investment holding company. The Company and its subsidiaries are engaged in the design, manufacture and sale of metal gift products and jewelry products. The Company has two segments: Metal gift products and Jewellery products. The Company's Metal gift products are designed in-house, while the manufacturing is subcontracted to independent third parties, and include fashion accessories, desk top accessories, table top accessories and time items. The Company's Jewellery products are designed by the Company, while the manufacturing is subcontracted to independent third parties. The Company uses South Sea pearls, diamonds, colored stones and gold in its jewelry products.",Personal & Household Prods.,"{""Chun Wai Cheung"": ""Chief Executive Officer, Executive Director"", ""Chor Wei Ong"": ""Non-Executive Deputy Chairman of the Board"", ""Chor Beng Lau"": ""Managing Director, Executive Director"", ""Mui Ching Lui"": ""Accounting Manager, Deputy Company Secretary"", ""Jong Yuh Gn"": ""Company Secretary""}"
331,JUBILEE INDUSTRIES HLDGS LTD,https://www.reuters.com/companies/JLJH.SI,"Jubilee Industries Holdings Ltd. is an investment holding company. The Company is involved in provision of precision plastic injection molding (PPIM), mold design and fabrication (MDF) and electronic components distribution. Its segments include PPIM, MDF and Electronic Components Distribution. Its MDF business is engaged in the design and fabrication of the precision plastic injection mold, a steel tool made up of many operating parts assembled together, and used in PPIM or sold directly to customers. It offers a range of PPIM services, including single-shot, double-shot, vertical, insert and gas-assisted molding. Its electronic components distribution business includes memory devices, radio frequency modules, power management integrated circuits, microcontrollers, transistors, mosfets, capacitors, inductors, resistors, crystal, oscillators and connectors. It operates in the United States, Malaysia, China, India, Indonesia, Thailand and Vietnam, among others.",Misc. Capital Goods,"{""Yeok Kian Tea"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Ee Lian Sng"": ""Group Financial Controller, Company Secretary"", ""Kok Liang Chew"": ""Joint Company Secretary"", ""Pang Kiang Alex Kang"": ""Non-Executive and Non-Independent Director"", ""Keng Chuan Cheong"": ""Non-Executive Independent Director""}"
332,JUMBO GROUP LIMITED,https://www.reuters.com/companies/JUMB.SI,"JUMBO Group Limited is an investment holding company. The Company is a multi-dining concept food and beverages (F&B) company. The Company's network of F&B outlets spans across Singapore, the People's Republic of China and Japan. It also provides catering services for customers in Singapore, and sells packaged sauces and spice mixes for its dishes in its outlets, selected stores, supermarkets, travel agencies and online through the JUMBO eShop. The Company operates approximately 20 F&B outlets in Singapore and over three F&B outlets in the People's Republic of China, under approximately five restaurant brands, including JUMBO Seafood, JPOT, NG AH SIO Bak Kut Teh, Chui Huay Lim Teochew Cuisine and J Cafe. It also manages over one Singapore Seafood Republic outlet. The Company offers multiple dining concepts catering to the discerning palates of local and overseas gastronomes. Its retail packs include JUMBO Cereal Premix, JUMBO Chilli Crab Paste and JUMBO Black Pepper Crab Spice.",Restaurants,"{""Cher Liang Tan"": ""Non-Executive Independent Chairman of the Board"", ""Kiam Meng Ang"": ""Group Chief Executive Officer, Executive Director"", ""Peng Huat Tay"": ""Chief Financial Officer"", ""Chwee Huan Kong"": ""Executive Director"", ""Yong Chuan Jacqueline Tan"": ""Executive Director""}"
333,KAKAO CORP GDR A,https://www.reuters.com/companies/035720.KS,"Kakao Corp is a Korea-based company principally engaged in the mobile services business. The Company operates its business through two segments. The Content segment produces mobile messengers, portals, games, music, and paid content such as webtoons, and Web novels. In addition, it sells character products using intellectual property (IP) called Kakao Friends through online and offline stores. The Platform segment sells advertisements such as search advertisements and display advertisements. In addition, it engages in businesses of mobility, pay and manufacturing communication terminals for children using IP called Kakao Friends.",Computer Services,"{""Beom Su Kim"": ""Chairman of the Board"", ""Su Yong Cho"": ""Co-Chief Executive Officer, Director"", ""Min Su Yeo"": ""Co-Chief Executive Officer, Director"", ""Gyu Jin Cho"": ""Non-Executive Independent Director"", ""Se Jeong Choi"": ""Non-Executive Independent Director""}"
334,KARIN TECHNOLOGY HLDGS LIMITED,https://www.reuters.com/companies/KARIol.SI,"Karin Technology Holdings Ltd is a Singapore based information technology (IT) and components solutions and services group. The Company operates in two core businesses: Components Distribution, and IT infrastructure solutions and services. The Company operates in three reportable operating segments: the components distribution segment engages in the trading of electronic, components and cables and the provision of IC software application design solutions to electronics manufacturers;  the IT infrastructure segment engages in the provision of computer data storage management solutions and services; and the consumer electronics products segment engages in the distribution and retailing of electronics products. The Company’s subsidiaries include Compusmart Limited, KARFID Technology Limited, Karga Solutions Limited, Karltec Information System (Shenzhen) Company Limited, I M I Kabel Pte. Ltd., Compusmart Limited, MEET Solutions Limited and Matrix Power Technology (Shenzhen) Co. Ltd.",Retail (Technology),"{""Yiu Chung Lee"": ""Chief Operating Officer"", ""Yiu Chown Leung"": ""Chief Technology Officer, General Manager - IT Infrastructure Division"", ""Mun Kit Ng"": ""General Manager, Executive Director"", ""Pak Cheong Cheng"": ""General Manager - IC Application Design Division"", ""Shi Fan Chong"": ""General Manager - Industrial Materials & Instrumentation Division""}"
335,KATRINA GROUP LTD.,https://www.reuters.com/companies/KATR.SI,"Katrina Group Ltd. operates chains of restaurants and cafes under different food and beverage (F&B) brands and concepts. The Company serves cuisines of different ethnicity, namely Indonesian, Thai, Hong Kong, Yunnan, northern Chinese cuisine, Mexican and Vietnamese. The Company operates in Singapore and People's Republic of China. It operates a chain of 32 restaurants in Singapore and two restaurants in the PRC under its own nine brands. Its F&B brands include Bali Thai, Streats, Honguo, So Pho, Indobox, Muchos, RENNthai, Bayang and Hutong. The Bali Thai brand offers Indonesian and Thai cuisine. The Streats brand offers contemporary Hong Kong cuisine. The Honguo brand offers specialties from Yunnan. The So Pho brand offers Vietnamese cuisine. The Indobox brand offers Indonesian cuisine. The Muchos brand offers Mexican cuisine. The RENNthai brand offers Thai cuisine. The Bayang brand offers Traditional Indonesian cuisine. The Hutong brand offers Traditional northern Chinese cuisine.",Restaurants,"{""Keng Chian Goh"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Lay Fen Neo"": ""Chief Financial Officer, Executive Director"", ""Tan Kim Wah"": ""Executive Director"", ""Woon Hong Wee"": ""Company Secretary"", ""Sau Chee Lau"": ""Non-Executive Independent Director""}"
336,KENCANA AGRI LIMITED,https://www.reuters.com/companies/KCALol.SI,"Kencana Agri Limited is a Singapore-based investment holding company. The Company is also a plantation company engaged in the cultivation of oil palms; processing of fresh fruit bunches (FFB) into crude palm oil (CPO), crude palm kernel oil (CPKO) and palm kernel cake (PKC); refining of CPO, and provision of bulking, port and logistics services. The Company operates through two segments: plantation, and logistics & bulking. The Company's plantation segment consists of plantations, palm oil mills and kernel crushing plants. The logistics & bulking segment provides support storage facilities and transportation of palm oil products. The Company has approximately five palm oil mills with total processing capacity of over 275 tons per hour and over two kernel crushing plants with capacity of approximately 435 tons per day. The Company's oil palm plantations are located in Sumatra, Kalimantan and Sulawesi regions of Indonesia.",Forestry & Wood Products,"{""Henry Maknawi"": ""Executive Chairman of the Board"", ""Albert Maknawi"": ""Chief Executive Officer, Executive Director"", ""Ratna Maknawi"": ""Deputy Chief Executive Officer, Executive Director"", ""Alwin Aziz"": ""Non-Executive Independent Vice Chairman of the Board"", ""Adalin Ali"": ""Chief Financial Officer""}"
337,KEONG HONG HOLDINGS LIMITED,https://www.reuters.com/companies/keho.si,"Keong Hong Holdings Limited is a Singapore-based investment holding company. The Company's segments include construction, property development and investment property. The construction segment is in the business of general building contracting. The property development segment is in the business of developing properties with other partners. The investment property segment is in the business of leasing office and retail shops in a commercial building acquired in Osaka, Japan. Its geographical segments include Singapore, Maldives and Japan. It provides various building construction services to both private and public sectors for residential, commercial, industrial and institutional projects. Its range of building construction services includes excavation, piling, substructures and superstructures works, architectural works, mechanical and electrical works, interior fitting-out works, and landscaping. Its projects include Twin waterfalls, The Terrasse, Paterson 2 and Alexandra Central.",Construction Services,"{""Ting Ping Ronald Leo"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Kah Ghee Tan"": ""Chief Financial Officer, Executive Director"", ""Toon Boon Loo"": ""General Manager - Operations"", ""Ang Hooa Er"": ""Executive Director"", ""Siew Khim Ng"": ""Head - Contracts""}"
338,KEPPEL CORPORATION LIMITED,https://www.reuters.com/companies/KPLM.SI,"Keppel Corporation Limited is an investment holding and management company. The Company operates in four segments: Offshore & Marine (O&M), Infrastructure, Property and Investments. Offshore & Marine Division serves the global offshore energy and marine sectors. Infrastructure Division's portfolio comprises power and gas, environmental engineering, logistics and data centers businesses. Property Division develops homes, offices, commercial and integrated developments to create digitally connected communities. Investments Division comprises the asset management, urban solutions and telecommunications businesses. Its Keppel Capital has a diversified portfolio that includes real estate, infrastructure and data center assets in key global markets.",Electric Utilities,"{""Leong Kay Teoh"": ""Non-Executive Independent Chairman of the Board"", ""Chin Hua Loh"": ""Chief Executive Officer, Executive Director"", ""Hon Chew Chan"": ""Chief Financial Officer, Chairman of Keppel Land ltd."", ""Devarshi Das"": ""Chief Executive Officer - Infrastructure, Keppel Capital Alternative Asset Pte Ltd"", ""Anthea Lee"": ""Chief Executive Officer of Keppel DC REIT Management Pte Ltd""}"
339,KEPPEL DC REIT,https://www.reuters.com/companies/KEPE.SI,"Keppel DC REIT (the trust) is a Singapore-based data center real estate investment trust (REIT). The Trust is focused on investing in a portfolio of real estate assets used primarily for data center purposes, as well as real estate related assets. Its segments include Colocation, Fully fitted, and Shell and core. Its portfolio comprises approximately 17 data centers, with an aggregate lettable area of approximately 1,411,411 square (sq) feet (ft), across Asia Pacific and Europe. Its portfolio includes Intellicentre 2, iseek Data Centre, Gore Hill Data Centre, maincubes Data Centre, Keppel DC Dublin 1, Keppel DC Dublin 2, Milan Data Centre, Basis Bay Data Centre, Keppel DC Singapore 1, Keppel DC Singapore 2, Keppel DC Singapore 3, Keppel DC Singapore 4, Almere Data Centre and Cardiff Data Centre. The Trust’s manager is Keppel DC REIT Management Pte. Ltd.",Real Estate Operations,"{""Hua Mui Tan"": ""Non-Executive Chairman of the Board"", ""Meng Hoon Lee"": ""Chief Executive Officer"", ""Sin Jun Lee"": ""Chief Financial Officer"", ""Weiqiang Tan"": ""Company Secretary"", ""Kenny Kwan"": ""Lead Independent Non-Executive Director""}"
340,KEPPEL INFRA TRUST WEF 2015,https://www.reuters.com/companies/KEPL.SI,"Keppel Infrastructure Trust is a business trust. The Company offers the opportunity to invest in a diverse portfolio of core infrastructure businesses (ranging from waste treatment, water production, power production and transmission, piped gas production retailing to telecommunications). It operates through five segments: Gas, Concessions, Power, Electricity and Corporate. The Gas segment is engaged in production and retailing of town gas and retailing of natural gas in Singapore. The Concessions segment consists of concessions in relation to the desalination plant, water treatment plant and waste-to-energy plants in Singapore. The Power segment consists of tolling arrangement for the power plant in Singapore. The Electricity segment operates subsea electricity interconnector in Australia. The Corporate segment is engaged in investment holding, asset management and business development. Keppel Infrastructure Fund Management Pte Ltd (KIFM) is the Trustee-Manager of the Trust.",Chemical Manufacturing,"{""Hock Huat Ee"": ""Non-Executive Independent Chairman of the Board of Keppel Infrastructure Management Pte Ltd."", ""Matthew Rupert Pollard"": ""Chief Executive Officer of Keppel Infrastructure Management Pte Ltd."", ""Bryan Sim"": ""Deputy Manager, Investor Relations"", ""Apurv Choudhary"": ""Head - Investments of Keppel Infrastructure Management Pte Ltd."", ""Marc Liu"": ""Head - Asset Management of Keppel Infrastructure Management Pte Ltd.""}"
341,KEPPEL PACIFIC OAK US REIT,https://www.reuters.com/companies/KPEL.SI,"Keppel Pacific Oak US REIT, formerly Keppel-KBS US REIT, is a Singapore-based real estate investment company. The Company is focused on operating commercial assets in the United States. The Company’s investment strategy is to principally invest in a diversified portfolio of commercial and real estate-related assets. The Company’s portfolio comprises a mix of 12 office properties located in seven markets across United States with a combined aggregate net lettable area of approximately 4.3 million square feet. In the Central region, the assets are Great Hills Plaza and Westech 360 in Austin, Texas; 1800 West Loop South and Westech Loop I & II in Houston, Texas, and Westmoor Center in Denver, Colorado. In the East Coast, the Company owns Powers Ferry and Northbridge Center I & II in Atlanta, Georgia, and Maitland Promenade II in Orlando, Florida. The Company is managed by Keppel Pacific Oak US REIT Management Pte. Ltd.",Real Estate Operations,"{""Peter McMillan"": ""Non-Independent Non-Executive Chairman of the Board of the Manager"", ""David Eric Snyder"": ""Chief Executive Officer, Chief Investment Officer of the Manager"", ""Andy Gwee"": ""Chief Financial Officer of the Manager"", ""Chris Cheo"": ""Finance Manager of the Manager"", ""Wai Kit Tai"": ""Senior Investment Analyst for the Manager""}"
342,KEPPEL REIT,https://www.reuters.com/companies/KASA.SI,"Keppel REIT (the Trust) is a Singapore-based real estate investment trusts (REITs). The Trust is focused on owning and investing in a portfolio of commercial real estate and real estate-related assets in Singapore and pan-Asia. It has assets across Singapore, Australian cities of Sydney, Melbourne, Brisbane and Perth, as well as Seoul, South Korea. Its sterling portfolio comprises interests in nine office assets. Its properties include Ocean Financial Centre, Marina Bay Financial Centre, One Raffles Quay, 8 Chifley Square, Sydney, 8 Exhibition Street, Melbourne, 275 George Street, Brisbane, David Malcolm Justice Centre, Perth, 311 Spencer Street, Melbourne and T Tower, Seoul. The trust’s manager is Keppel REIT Management Limited.",Real Estate Operations,"{""Yoke Sim Lee"": ""Non-Executive Chairman of the Board of the Manager"", ""Wei Hsing Tham"": ""Chief Executive Officer of the Manager"", ""Shirley Ng"": ""Deputy Chief Executive Officer and Head of Investment"", ""Leng Hui Kang"": ""Chief Financial Officer of the Manager"", ""Sebastian Song"": ""Financial Controller of the Manager""}"
343,KHONG GUAN LIMITED,https://www.reuters.com/companies/KHON.SI,"Khong Guan Limited, formerly Khong Guan Flour Milling Limited, is engaged in trading of wheat flour, edible products, and investment holding. The Company's segments include Trading of wheat flour and consumer goods, Investment trading and Investment holding. The Trading of wheat flour and consumer goods segment is engaged in trading of wheat flour and consumer goods in Singapore and Malaysia. Its Investment trading segment is engaged in trading of shares listed in Singapore, Malaysia and Hong Kong. Its Investment holding segment is engaged in holding of shares in Singapore and Malaysia for dividend income. Its subsidiaries include Khong Guan Food Products Pte. Ltd., engaged in trading in quoted investments; Victus Marketing Pte. Ltd., engaged in trading in quoted investments; Tau Meng Investments Pte. Ltd., engaged in investment holding, and Swee Hin Chan Company Sdn. Berhad and Tong Guan Food Products Sdn. Bhd, engaged in wholesaler of wheat flour, general goods and related products.",Food Processing,"{""Soo Lin Chew"": ""Executive Chairman of the Board"", ""Soo Eng Chew"": ""Managing Director, Executive Director"", ""Kian Boon Chew"": ""Non-Independent Executive Director"", ""Nor Hafiza Alwi"": ""Company Secretary"", ""Kwang Lip Tay"": ""Lead Independent Director""}"
344,KIM HENG LTD.,https://www.reuters.com/companies/KIMH.SI,"Kim Heng Limited, formerly Kim Heng Offshore & Marine Holdings Limited, is a Singapore-based offshore and marine value chain services provider. The Company specializes in engineering, procurement, construction and installation support. The Company's fully integrated solutions include marine transportation and towage, mooring installation of floating production storage and offloading, subsea marine cable installation, drilling supports, horizontal directional drilling, vessel or rig maintenance and refurbishment, fabrication and newbuilding. Its operations are primarily located in Singapore, with two shipyards strategically located at 9 Pandan Crescent and 48 Penjuru Road. The Company’s segments include Renewable Energy Support Services, Vessel Chartering, Heavy Equipment Sales and Rental, and Marine Offshore Support Services.",Oil Well Services & Equipment,"{""Thomas Tan"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Wei Ming Lim"": ""Chief Financial Officer"", ""Aik Soon Heng"": ""General Manager - Yard"", ""Sanket Asok Shukla"": ""General Manager \u2013 Offshore & Marine Services"", ""Keng Hoe Tan"": ""Commercial and Operations Director""}"
345,KIMLY LIMITED,https://www.reuters.com/companies/KIML.SI,"Kimly Ltd is a Singapore-based operator of traditional coffee shops. The Company operates and manages coffee shops and food courts. It operates in two divisions: Outlet Management Division and Food Retail Division. The outlet management division comprises coffee shop management division and food court management division. Its coffee shop management division is carried out by Kimly Makan Place and its food court management division is carried out by Foodclique Pte. Ltd. The Company operates approximately 79 food outlets. It manages and operates five food courts under the foodclique brand. Its food retail division is carried out by Kimly Food Holdings and Chodee Food Holdings. It operates approximately 137 food stalls comprising approximately 28 mixed vegetable rice stalls, over 18 rice garden stalls, three teochew porridge stalls, approximately 49 dim sum stalls, approximately 30 Seafood Zi Char stalls and one live seafood restaurant.",Restaurants,"{""Hee Liat Lim"": ""Chairman, Executive Director"", ""Kok Yoong Wong"": ""Finance Director"", ""Cher Khiang Chia"": ""Executive Director"", ""Kim Leong Peh"": ""Head - Outlet Operations"", ""Chong Sing Tan"": ""Head of Operations""}"
346,KING WAN CORPORATION LIMITED,https://www.reuters.com/companies/KIWC.SI,"King Wan Corporation Limited is engaged in investment holding. The Company operates as an integrated building services company. Its principal activities include provision of mechanical and electrical engineering services for building and construction industry. Its segments include Plumbing and sanitary, which provides plumbing and sanitary services, including the design and installation of water distribution systems and pipe network for sewage and waste water drainage; Electrical, which provides electrical engineering services, including the design and installation of electricity distribution systems, fire protection, alarm systems, communications and security systems, as well as air conditioning and mechanical ventilation systems; Toilet rental, which is engaged in renting and operating of mobile lavatories and other facilities; Investment holdings, which includes the Company's investments in associates and joint ventures, and Others, which consists of other activities.",Construction Services,"{""Kim Hua Chua"": ""Executive Chairman of the Board"", ""Eng Eng Chua"": ""Managing Director, Executive Director"", ""Ai Ling Ong"": ""Financial Controller"", ""Hai Kuey Chua"": ""Executive Director"", ""Kok Chuan Chua"": ""Deputy Director - Plumbing and Sanitary Division of King Wan Construction Pte Ltd""}"
347,KINGSMEN CREATIVES LTD,https://www.reuters.com/companies/KMEN.SI,"Kingsmen Creatives Ltd. is a Singapore-based company engaged in investment holding and providing corporate marketing and other related services. The Company operates through five business segments: Exhibitions and Museums, which is engaged in the production of exhibition displays for trade shows and promotional events, interiors and displays for museums and visitor centers, as well as production of thematic and scenic displays for theme parks; Retail and Corporate Interiors, which is engaged in providing interior fitting-out services to commercial and retail properties; Research and Design, which provides design works for upmarket specialty stores, departmental stores, eateries, museums, visitors' centers, corporate offices, showrooms, trade shows, events, promotional functions and festivals; Alternative Marketing, which is engaged in event management, branding consultancy services and custom publishing, and Corporate and Others, which provides corporate services.",Business Services,"{""Siak Poh Soh"": ""Executive Chairman of the Board"", ""Oon Teck Cheng"": ""Group Chief Executive Officer, Executive Director"", ""Chin Sim Ong"": ""Executive Deputy of the Board"", ""Siew Ling Chong"": ""Managing Director - Exhibitions & Museums, Executive Director"", ""Keat Jin Chang"": ""Managing Director of PT Kingsmen Indonesia""}"
